Which planet is known as the Red Planet?;Venus;Mars;Jupiter;Saturn;2
"Band: "" _________ And the Bad Seeds""";Bruce Springsteen;Eric Clapton;Elvis Presley;Nick Cave;4
Secret Identities: Arthur Curry;Batman;Aquaman;Spider-Man;Superman;2
Who invented the electrical bass?;Les Paul;Rickenbacker;Leo Fender;John Entwistle;3
Mentor of Titan had two children in the Marvel comics, Thanos and ____;Loki;Galactus;Kang;Ero;4
Green Lantern's alter ego;Bruce Wayne;Hal Jordan;Peter Parker;Clark Kent;2
What did Peppermint Patty always call Charlie Brown;Baldy;Chuck;Sport;Chief;2
Which brand of guitar is played by Jimmy Page, Slash, and Brian May?;Ibanez JEM;PRS Custom 24;Fender Stratocaster;Gibson Les Paul;4
When not a Birdman, what does Ray Randall do for a living?;Mechanic;Police officer;Firefighter;Teacher;2
In a 1976 release, who wanted to 'fly like an eagle'?;Led Zeppelin;The Eagles;Fleetwood Mac;Steve Miller Band;4
Who was 'hooked on a feeling'?;The Rolling Stones;The Beatles;The Who;Blue Suede;4
Ian Gillain is the singer for this legendary band;Black Sabbath;Deep Purple;Led Zeppelin;The Who;2
How many storm troopers were seen in Star Trek?;One Hundred;None (It Was Star Wars);Twenty;Fifty;2
Who wrote the song 'Do They Know It's Christmas' with Bob Geldof?;Midge Ure;Freddie Mercury;David Bowie;Elton John;1
What group's biggest-ever hit was Be My Baby?;The Supremes;The Crystals;The Shirelles;The Ronettes;4
"Through 1963 this duo's total record sales exceeded 18 million with successes including ""Cathy's Clown"" and ""Wake Up Little Suzie"".";The Beach Boys;Simon & Garfunkel;The Everly Brothers;The Righteous Brothers;3
Name the ranger who was always after Yogi Bear.;Rick;Ranger Bob;Ranger Smith;Ranger Joe;1
Who plays many voices, such as Dr Nick, and Moe on 'The Simpsons'?;Dan Castellaneta;Julie Kavner;Harry Shearer;Hank Azaria;4
This film was an ambitious concert sequence of cartoons by Walt Disney.;Fantasia;Snow White;Dumbo;Cinderella;1
Name the fastest mouse in all of Mexico.;Mighty Mouse;Mickey Mouse;Jerry;Speedy Gonzalez;4
What is the frog's name in 'The Muppet Show'?;Kermit D Frog;Miss Piggy;Gonzo;Fozzie Bear;1
"Who recorded the 1957 hit ""Tammy""?";Patti Page;Brenda Lee;Connie Francis;Debby Reynolds;4
What Marlon Brando film was widely banned?;The Godfather;Last Tango In Paris;A Streetcar Named Desire;On the Waterfront;2
"What country was the setting for ""The King and I""?";China;Japan;India;Siam (Thailand);4
Girlfriend of Lex Luther II;Lois Lane;Catwoman;Supergirl;Wonder Woman;3
"Who starred with John Travolta in the movie ""Broken Arrow""?";Christian Slater;Bruce Willis;Tom Cruise;Nicolas Cage;1
Who began his career with 'The Yardbirds' and established himself as one of the best rock guitarists of his generation?;Jimi Hendrix;Jeff Beck;Eric Clapton;Jimmy Page;3
"She played Lois Lane in the 1978 film version of ""Superman"".";Teri Hatcher;Kate Bosworth;Margot Kidder;Dana Delany;3
"What was the setting for ""The Sound of Music""?";France;Switzerland;Germany;Austria;4
In 'Star Wars', who was C3P0's sidekick?;R2D2;Han Solo;Chewbacca;BB-8;1
On what T.V. show could Tom Terrific be found;The Electric Company;Mister Rogers' Neighborhood;Sesame Street;Captain Kangaroo;4
"Besides ""Auld Lang Syne"" and ""For He's a Jolly Good Fellow"", what is the most frequently sung song in English?";Twinkle, Twinkle Little Star;Jingle Bells;Silent Night;Happy Birthday;4
What is a violoncello usually called?;Bass;Viola;Violin;Cello;4
What was the first cartoon to feature sound;Mickey Mouse;Steamboat Willie;Fantasia;The Jazz Singer;2
Who was Dick Dastardly's pet?;Muttley;Fido;Spot;Rover;1
From where was Ricky in 'I Love Lucy'?;Spain;Cuba;Mexico;Puerto Rico;2
What is Elton John's real name?;Gordon Sumner;Reginald Dwight;David Jones;Paul Hewson;2
"What was the original name of ""Little Rascals""?";Tiny Tots;Our Gang;Mischief Makers;Little Scamps;2
What is Cape Town's major choir called?;Symphony Choir;Philharmonic choir;Choral Society;Chamber Choir;2
What was the original name of Paul McCartney's fictional church cleaner 'Eleanor Rigby'?;Mrs. McCartney;Miss Daisy Hawkins;Lady Madonna;Lily Lennon;2
Who married Shania Twain?;"Robert ""Mutt"" Lange";Billy Ray Cyrus;Toby Keith;Garth Brooks;1
For which film did Art Carney win best actor Oscar in 1974?;Blazing Saddles;Chinatown;Harry and Tonto;The Godfather Part II;3
"This magic word was in the movie, ""Mary Poppins"".";Abracadabra;Supercalifragilisticexpialidocious;Hocus Pocus;Bibbidi-Bobbidi-Boo;2
Where did George of the Jungle live;Amazon Rainforest;Tarzan's Forest;Imgwee gwee valley;Congo Jungle;3
"Who played the lead in the movie ""Mission Impossible""?";Harrison Ford;Keanu Reeves;Matt Damon;Tom Cruise;4
"Darth Vader was the villain in the movie, ""____ Wars"".";Trek Wars;Clone Wars;Star Wars;Galaxy Wars;3
Vincent Vega appeared in which movie?;Reservoir Dogs;Scarface;Pulp Fiction;Goodfellas;3
What was the last Beatles album to be released before they broke up in 1970?;Let It Be;Revolver;Abbey Road;Sgt. Pepper's Lonely Hearts Club Band;1
Who played Kevin Hathaway on the soapie 'Days Of Our Lives'?;Stephen Nichols;Peter Reckell;John Aniston;Pat Sajak;4
What was the name of Ross' pet monkey on 'Friends'?;Bobo;Marcel;Koko;George;2
