Near what river is the Temple of Karnak?;Tigris;Euphrates;Nile;Ganges;3
What is the capital of France?;Marseille;Lyon;Paris;Bordeaux;3
What famous geyser erupts regularly at the Yellowstone National Park?;Old Faithful;Grand Prismatic Spring;Mammoth Hot Springs;Old Faithful;4
What is the capital of India?;New Delhi;Mumbai;Kolkata;Chennai;1
What is the capital of Bulgaria?;Sofia;Varna;Burgas;Ruse;1
What Scandinavian capital begins and ends with the same letter?;Copenhagen;Oslo;Helsinki;Reykjavik;2
Name the city at the west end of Lake Superior;Thunder Bay;Duluth;Milwaukee;Chicago;2
What is the basic unit of currency for Sierra Leone?;Dollar;Leone;Pound;Cedi;2
In which country is the Great Victoria Desert?;South Africa;Namibia;Botswana;Australia;4
In which city is Red Square?;St Petersburg;Moscow;Novosibirsk;Kazan;2
In 1785, Blanchard and Jeffries became the first to cross the English channel using which method of transport?;Ship;Train;Car;Balloon;4
Which Order Of Friars Is Coffee Topped With Steam Milk Named After?;Jesuit;Dominican;Carmelite;Capuchin;4
"Who recorded ""Barbara Ann"" in 1961?";Beach Boys;Supremes;The Shirelles;Regents;4
Which TV show portrayed the lives of performing arts high school students?;Glee;Fame;High School Musical;Degrassi;2
When is 'trick or treat'?;Christmas;Easter;Halloween;Thanksgiving;3
What u.s president was castigated for picking up his pet beagles by the ears?;John F. Kennedy;Richard Nixon;Lyndon Johnson;Dwight Eisenhower;3
What is the fear of decaying matter known as?;Necrophobia;Thanatophobia;Seplophobia;Trypophobia;3
He's In Town Was A Hit In 1964 For Which British Group?;The Beatles;The Rolling Stones;The Kinks;Rockin Berries;4
Where are the two steepest streets in the USA?;New York City;Los Angeles;San Francisco;Chicago;3
Which Country Was Awarded The George Cross For Civilian Bravery In 1942?;United Kingdom;Malta;France;Poland;2
March 21st to April 20th is what Star sign?;Taurus;Gemini;Aries;Cancer;3
Joe Louis became World Champion in which year?;1927;1937;1947;1957;2
